wbsendit__Activity__c,ACTIVITY_DATE,ACTIVITY_REPORT,BOUNCE_REASON,Name,wbsendit__Campaign_ID__c,CITY,COMPOUND_KEY,wbsendit__Contact__c,COUNTRY_CODE,COUNTRY_NAME,CREATED_BY,EMAIL_ADDRESS,IP_ADDRESS,LAST_MODIFIED_BY,LEAD,LOCATION,OWNER,REGION,URL_CLICKED
Unsubscribed,2020-04-02T10:07:12.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100149&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 496,CM100149,Los Angeles,CM100149 user496@example.org 2025-04-17 14:05:19.397,A0496,US,United States,,user496@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/496
Bounced,2020-02-07T12:57:14.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100159&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 592,CM100159,Houston,CM100159 user592@example.org 2025-04-17 14:05:19.397,A0592,US,United States,,user592@example.org,,,,,,New York,http://mfbhope24.givesmart.com/592
Clicked,2020-01-09T22:44:12.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100168&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 688,CM100168,,CM100168 user688@example.org 2025-04-17 14:05:19.397,A0688,US,United States,,user688@example.org,,,,,,,http://mfbhope24.givesmart.com/688
,2020-02-06T07:25:22.000Z,,,Campaign 720,CM100172,Houston,CM100172 user720@example.org 2025-04-17 14:05:19.397,A0720,US,United States,,user720@example.org,,,,,,,http://mfbhope24.givesmart.com/720
Opened,2020-01-02T11:26:49.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100125&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 254,CM100125,Houston,CM100125 user254@example.org 2025-04-17 14:05:19.397,A0254,US,United States,,user254@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/254
,2020-01-06T03:35:14.000Z,,,Campaign 270,CM100127,Houston,CM100127 user270@example.org 2025-04-17 14:05:19.397,A0270,US,United States,,user270@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/270
Opened,2020-04-17T16:05:25.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100135&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 350,CM100135,Phoenix,CM100135 user350@example.org 2025-04-17 14:05:19.397,A0350,US,United States,,user350@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/350
Unsubscribed,2020-04-24T23:38:59.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100151&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 510,CM100151,Chicago,CM100151 user510@example.org 2025-04-17 14:05:19.397,A0510,US,United States,,user510@example.org,,,,,,New York,http://mfbhope24.givesmart.com/510
Clicked,2020-03-26T02:44:47.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100170&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 702,CM100170,Los Angeles,CM100170 user702@example.org 2025-04-17 14:05:19.397,A0702,US,United States,,user702@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/702
Bounced,2020-02-07T06:41:12.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100171&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 718,CM100171,New York,CM100171 user718@example.org 2025-04-17 14:05:19.397,A0718,US,United States,,user718@example.org,,,,,,California,http://mfbhope24.givesmart.com/718
Bounced,2020-03-10T17:10:30.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100196&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 96,CM100196,New York,CM100196 user96@example.org 2025-04-17 14:05:19.397,A0096,US,United States,,user96@example.org,,,,,,,http://mfbhope24.givesmart.com/96
Bounced,2020-01-02T11:28:25.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100111&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 112,CM100111,Chicago,CM100111 user112@example.org 2025-04-17 14:05:19.397,A0112,US,United States,,user112@example.org,,,,,,,http://mfbhope24.givesmart.com/112
,2020-04-08T03:47:27.000Z,,,Campaign 256,CM100125,Los Angeles,CM100125 user256@example.org 2025-04-17 14:05:19.397,A0256,US,United States,,user256@example.org,,,,,,California,http://mfbhope24.givesmart.com/256
Unsubscribed,2020-03-12T23:05:25.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100170&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 704,CM100170,New York,CM100170 user704@example.org 2025-04-17 14:05:19.397,A0704,US,United States,,user704@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/704
Bounced,2020-03-09T00:49:54.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100141&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 414,CM100141,Chicago,CM100141 user414@example.org 2025-04-17 14:05:19.397,A0414,US,United States,,user414@example.org,,,,,,California,http://mfbhope24.givesmart.com/414
,2020-02-09T00:45:46.000Z,,,Campaign 766,CM100176,,CM100176 user766@example.org 2025-04-17 14:05:19.397,A0766,US,United States,,user766@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/766
Clicked,2020-01-10T22:34:44.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100187&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 878,CM100187,,CM100187 user878@example.org 2025-04-17 14:05:19.397,A0878,US,United States,,user878@example.org,,,,,,California,http://mfbhope24.givesmart.com/878
,2020-04-17T18:20:41.000Z,,,Campaign 910,CM100191,New York,CM100191 user910@example.org 2025-04-17 14:05:19.397,A0910,US,United States,,user910@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/910
Bounced,2020-03-25T15:54:23.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100112&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 127,CM100112,Chicago,CM100112 user127@example.org 2025-04-17 14:05:19.397,A0127,US,United States,,user127@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/127
Opened,2020-01-11T09:28:56.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100117&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 175,CM100117,Chicago,CM100117 user175@example.org 2025-04-17 14:05:19.397,A0175,US,United States,,user175@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/175
Unsubscribed,2020-02-10T07:32:46.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100125&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 255,CM100125,New York,CM100125 user255@example.org 2025-04-17 14:05:19.397,A0255,US,United States,,user255@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/255
Clicked,2020-01-20T18:15:18.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100130&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 303,CM100130,Chicago,CM100130 user303@example.org 2025-04-17 14:05:19.397,A0303,US,United States,,user303@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/303
,2020-01-18T18:54:10.000Z,,,Campaign 511,CM100151,,CM100151 user511@example.org 2025-04-17 14:05:19.397,A0511,US,United States,,user511@example.org,,,,,,New York,http://mfbhope24.givesmart.com/511
,2020-03-05T08:28:14.000Z,,,Campaign 623,CM100162,Phoenix,CM100162 user623@example.org 2025-04-17 14:05:19.397,A0623,US,United States,,user623@example.org,,,,,,California,http://mfbhope24.givesmart.com/623
Opened,2020-01-07T10:05:29.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100192&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 928,CM100192,Phoenix,CM100192 user928@example.org 2025-04-17 14:05:19.397,A0928,US,United States,,user928@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/928
,2020-01-22T04:02:20.000Z,,,Campaign 944,CM100194,Phoenix,CM100194 user944@example.org 2025-04-17 14:05:19.397,A0944,US,United States,,user944@example.org,,,,,,New York,http://mfbhope24.givesmart.com/944
Opened,2020-01-22T12:40:45.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100138&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 388,CM100138,New York,CM100138 user388@example.org 2025-04-17 14:05:19.397,A0388,US,United States,,user388@example.org,,,,,,New York,http://mfbhope24.givesmart.com/388
Bounced,2020-02-07T01:20:13.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100117&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 174,CM100117,Phoenix,CM100117 user174@example.org 2025-04-17 14:05:19.397,A0174,US,United States,,user174@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/174
Opened,2020-03-13T17:01:29.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100123&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 238,CM100123,Houston,CM100123 user238@example.org 2025-04-17 14:05:19.397,A0238,US,United States,,user238@example.org,,,,,,,http://mfbhope24.givesmart.com/238
Clicked,2020-01-12T17:08:48.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100138&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 382,CM100138,Houston,CM100138 user382@example.org 2025-04-17 14:05:19.397,A0382,US,United States,,user382@example.org,,,,,,California,http://mfbhope24.givesmart.com/382
,2020-04-08T08:11:41.000Z,,,Campaign 430,CM100143,,CM100143 user430@example.org 2025-04-17 14:05:19.397,A0430,US,United States,,user430@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/430
Unsubscribed,2020-01-19T07:02:18.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100152&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 526,CM100152,Los Angeles,CM100152 user526@example.org 2025-04-17 14:05:19.397,A0526,US,United States,,user526@example.org,,,,,,,http://mfbhope24.givesmart.com/526
Opened,2020-02-25T08:15:42.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100155&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 558,CM100155,New York,CM100155 user558@example.org 2025-04-17 14:05:19.397,A0558,US,United States,,user558@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/558
Opened,2020-03-19T22:29:00.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100157&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 574,CM100157,,CM100157 user574@example.org 2025-04-17 14:05:19.397,A0574,US,United States,,user574@example.org,,,,,,California,http://mfbhope24.givesmart.com/574
Unsubscribed,2020-04-08T13:33:09.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100163&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 638,CM100163,Phoenix,CM100163 user638@example.org 2025-04-17 14:05:19.397,A0638,US,United States,,user638@example.org,,,,,,New York,http://mfbhope24.givesmart.com/638
Bounced,2020-03-16T20:25:14.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100173&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 734,CM100173,Los Angeles,CM100173 user734@example.org 2025-04-17 14:05:19.397,A0734,US,United States,,user734@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/734
Clicked,2020-02-27T01:06:35.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100178&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 782,CM100178,New York,CM100178 user782@example.org 2025-04-17 14:05:19.397,A0782,US,United States,,user782@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/782
Opened,2020-03-15T01:31:51.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100179&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 798,CM100179,,CM100179 user798@example.org 2025-04-17 14:05:19.397,A0798,US,United States,,user798@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/798
Unsubscribed,2020-01-19T10:31:11.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100132&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 32,CM100132,Chicago,CM100132 user32@example.org 2025-04-17 14:05:19.397,A0032,US,United States,,user32@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/32
Clicked,2020-04-13T11:59:00.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100148&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 48,CM100148,Houston,CM100148 user48@example.org 2025-04-17 14:05:19.397,A0048,US,United States,,user48@example.org,,,,,,New York,http://mfbhope24.givesmart.com/48
Clicked,2020-03-03T16:09:45.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100112&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 128,CM100112,Phoenix,CM100112 user128@example.org 2025-04-17 14:05:19.397,A0128,US,United States,,user128@example.org,,,,,,California,http://mfbhope24.givesmart.com/128
Clicked,2020-01-23T21:49:15.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100119&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 192,CM100119,,CM100119 user192@example.org 2025-04-17 14:05:19.397,A0192,US,United States,,user192@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/192
Opened,2020-03-04T19:52:28.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100120&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 208,CM100120,Houston,CM100120 user208@example.org 2025-04-17 14:05:19.397,A0208,US,United States,,user208@example.org,,,,,,California,http://mfbhope24.givesmart.com/208
Opened,2020-04-24T04:20:45.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100122&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 224,CM100122,Houston,CM100122 user224@example.org 2025-04-17 14:05:19.397,A0224,US,United States,,user224@example.org,,,,,,California,http://mfbhope24.givesmart.com/224
,2020-01-07T08:49:13.000Z,,,Campaign 272,CM100127,,CM100127 user272@example.org 2025-04-17 14:05:19.397,A0272,US,United States,,user272@example.org,,,,,,,http://mfbhope24.givesmart.com/272
Opened,2020-01-26T12:09:49.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100128&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 288,CM100128,Los Angeles,CM100128 user288@example.org 2025-04-17 14:05:19.397,A0288,US,United States,,user288@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/288
Unsubscribed,2020-01-22T02:51:27.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100130&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 304,CM100130,,CM100130 user304@example.org 2025-04-17 14:05:19.397,A0304,US,United States,,user304@example.org,,,,,,New York,http://mfbhope24.givesmart.com/304
Clicked,2020-03-07T11:09:11.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100133&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 336,CM100133,Phoenix,CM100133 user336@example.org 2025-04-17 14:05:19.397,A0336,US,United States,,user336@example.org,,,,,,New York,http://mfbhope24.givesmart.com/336
