PERC_OPENED,CAMPAIGN_ID,CAMPAIGN_NAME,CLIENT,CLIENT_NAME,CREATED_BY,FROM_EMAIL,FROM_NAME,JOB_ID,LAST_BOUNCED_COUNT,LAST_CLICK_COUNT,LAST_MODIFIED_BY,LAST_OPEN_COUNT,LAST_SYNCED,LAST_UNSUBSCRIBE_COUNT,NUM_BOUNCED,NUM_CLICKS,NUM_FORWARDS,NUM_LIKES,NUM_MENTIONS,NUM_OPENS,NUM_RECIPIENTS,NUM_SPAM_COMPLAINTS,NUM_UNIQUE_OPENS,NUM_UNSUBSCRIBED,OWNER,REPLY_TO,SALESFORCE_CAMPAIGN,SENT_DATE,SUBJECT,TAGS,TOTAL_RECIPIENTS,WEB_VERSION_TEXT_URL,WEB_VERSION_URL,WORLD_VIEW_EMAIL_TRACKING
38.86,CM100125,Campaign 253,Client_253,Client Name 253,user253@midwest.org,user253@midwestfood.org,Team 253,,4,199,user253@midwist.org,,,4,1,534,,3,4,1205,1247,0,789,9,,,,2020-03-23T23:36:38.000Z,Sample Subject 253,,67,http://createsend.com/texturl/253,http://createsend.com/url/253,https://midwestfoodbank.org/email_tracking/253
26.28,CM100126,Campaign 269,Client_269,Client Name 269,user269@midwest.org,user269@midwestfood.org,Team 269,,4,226,user269@midwist.org,,,9,13,120,,18,4,1414,1141,0,479,5,,,,2020-03-18T13:41:12.000Z,Sample Subject 269,,45,http://createsend.com/texturl/269,http://createsend.com/url/269,https://midwestfoodbank.org/email_tracking/269
14.9,CM100128,Campaign 285,Client_285,Client Name 285,user285@midwest.org,user285@midwestfood.org,Team 285,,3,338,user285@midwist.org,,,10,10,387,,10,2,889,1452,4,758,1,,,,2020-02-28T00:12:15.000Z,Sample Subject 285,,47,http://createsend.com/texturl/285,http://createsend.com/url/285,https://midwestfoodbank.org/email_tracking/285
24.18,CM100130,Campaign 301,Client_301,Client Name 301,user301@midwest.org,user301@midwestfood.org,Team 301,,5,585,user301@midwist.org,,,8,6,426,,15,7,984,1153,0,571,3,,,,2020-03-21T01:19:30.000Z,Sample Subject 301,,68,http://createsend.com/texturl/301,http://createsend.com/url/301,https://midwestfoodbank.org/email_tracking/301
34.99,CM100131,Campaign 317,Client_317,Client Name 317,user317@midwest.org,user317@midwestfood.org,Team 317,,3,491,user317@midwist.org,,,3,3,310,,8,4,914,1399,5,650,9,,,,2020-04-22T15:49:36.000Z,Sample Subject 317,,86,http://createsend.com/texturl/317,http://createsend.com/url/317,https://midwestfoodbank.org/email_tracking/317
30.43,CM100134,Campaign 349,Client_349,Client Name 349,user349@midwest.org,user349@midwestfood.org,Team 349,,4,753,user349@midwist.org,,,6,9,683,,16,6,1044,1128,3,568,7,,,,2020-04-13T08:30:55.000Z,Sample Subject 349,,45,http://createsend.com/texturl/349,http://createsend.com/url/349,https://midwestfoodbank.org/email_tracking/349
13.54,CM100139,Campaign 397,Client_397,Client Name 397,user397@midwest.org,user397@midwestfood.org,Team 397,,3,787,user397@midwist.org,,,9,3,449,,15,3,741,1338,1,240,7,,,,2020-04-21T23:59:58.000Z,Sample Subject 397,,53,http://createsend.com/texturl/397,http://createsend.com/url/397,https://midwestfoodbank.org/email_tracking/397
35.29,CM100141,Campaign 413,Client_413,Client Name 413,user413@midwest.org,user413@midwestfood.org,Team 413,,4,338,user413@midwist.org,,,2,12,631,,10,3,968,1256,3,241,7,,,,2020-03-09T11:22:45.000Z,Sample Subject 413,,95,http://createsend.com/texturl/413,http://createsend.com/url/413,https://midwestfoodbank.org/email_tracking/413
11.94,CM100196,Campaign 96,Client_96,Client Name 96,user96@midwest.org,user96@midwestfood.org,Team 96,,5,444,user96@midwist.org,,,6,18,140,,11,4,1115,1477,4,899,2,,,,2020-03-01T20:30:22.000Z,Sample Subject 96,,66,http://createsend.com/texturl/96,http://createsend.com/url/96,https://midwestfoodbank.org/email_tracking/96
48,CM100112,Campaign 128,Client_128,Client Name 128,user128@midwest.org,user128@midwestfood.org,Team 128,,5,140,user128@midwist.org,,,0,14,497,,7,2,688,1460,1,974,0,,,,2020-04-15T19:38:47.000Z,Sample Subject 128,,48,http://createsend.com/texturl/128,http://createsend.com/url/128,https://midwestfoodbank.org/email_tracking/128
44.46,CM100116,Campaign 160,Client_160,Client Name 160,user160@midwest.org,user160@midwestfood.org,Team 160,,1,338,user160@midwist.org,,,10,18,334,,15,6,1347,1284,4,572,8,,,,2020-01-16T01:10:00.000Z,Sample Subject 160,,82,http://createsend.com/texturl/160,http://createsend.com/url/160,https://midwestfoodbank.org/email_tracking/160
37.73,CM100133,Campaign 336,Client_336,Client Name 336,user336@midwest.org,user336@midwestfood.org,Team 336,,5,782,user336@midwist.org,,,1,18,105,,20,9,1179,1131,3,988,8,,,,2020-04-07T01:51:57.000Z,Sample Subject 336,,82,http://createsend.com/texturl/336,http://createsend.com/url/336,https://midwestfoodbank.org/email_tracking/336
44.43,CM100144,Campaign 445,Client_445,Client Name 445,user445@midwest.org,user445@midwestfood.org,Team 445,,4,405,user445@midwist.org,,,3,11,576,,2,10,1246,1236,1,301,8,,,,2020-04-15T15:32:31.000Z,Sample Subject 445,,67,http://createsend.com/texturl/445,http://createsend.com/url/445,https://midwestfoodbank.org/email_tracking/445
13.1,CM100150,Campaign 509,Client_509,Client Name 509,user509@midwest.org,user509@midwestfood.org,Team 509,,1,594,user509@midwist.org,,,9,16,488,,7,4,630,1174,5,411,7,,,,2020-04-06T16:14:30.000Z,Sample Subject 509,,30,http://createsend.com/texturl/509,http://createsend.com/url/509,https://midwestfoodbank.org/email_tracking/509
21.74,CM100162,Campaign 621,Client_621,Client Name 621,user621@midwest.org,user621@midwestfood.org,Team 621,,1,263,user621@midwist.org,,,6,16,530,,4,7,833,1434,0,247,4,,,,2020-04-07T08:00:56.000Z,Sample Subject 621,,97,http://createsend.com/texturl/621,http://createsend.com/url/621,https://midwestfoodbank.org/email_tracking/621
44.51,CM100166,Campaign 669,Client_669,Client Name 669,user669@midwest.org,user669@midwestfood.org,Team 669,,2,296,user669@midwist.org,,,1,7,128,,8,8,1446,1275,0,710,8,,,,2020-03-28T19:50:58.000Z,Sample Subject 669,,3,http://createsend.com/texturl/669,http://createsend.com/url/669,https://midwestfoodbank.org/email_tracking/669
43.85,CM100173,Campaign 733,Client_733,Client Name 733,user733@midwest.org,user733@midwestfood.org,Team 733,,5,349,user733@midwist.org,,,5,9,545,,2,1,1302,1415,1,342,0,,,,2020-03-23T14:04:49.000Z,Sample Subject 733,,25,http://createsend.com/texturl/733,http://createsend.com/url/733,https://midwestfoodbank.org/email_tracking/733
22.58,CM100174,Campaign 749,Client_749,Client Name 749,user749@midwest.org,user749@midwestfood.org,Team 749,,1,247,user749@midwist.org,,,10,20,159,,15,3,1498,1151,3,244,1,,,,2020-01-31T20:12:02.000Z,Sample Subject 749,,30,http://createsend.com/texturl/749,http://createsend.com/url/749,https://midwestfoodbank.org/email_tracking/749
24.91,CM100159,Campaign 592,Client_592,Client Name 592,user592@midwest.org,user592@midwestfood.org,Team 592,,1,624,user592@midwist.org,,,7,19,286,,7,3,639,1209,1,690,3,,,,2020-02-29T23:48:19.000Z,Sample Subject 592,,51,http://createsend.com/texturl/592,http://createsend.com/url/592,https://midwestfoodbank.org/email_tracking/592
21.93,CM100162,Campaign 624,Client_624,Client Name 624,user624@midwest.org,user624@midwestfood.org,Team 624,,2,201,user624@midwist.org,,,2,3,649,,19,8,857,1479,5,369,6,,,,2020-02-17T23:17:03.000Z,Sample Subject 624,,91,http://createsend.com/texturl/624,http://createsend.com/url/624,https://midwestfoodbank.org/email_tracking/624
33.68,CM100136,Campaign 365,Client_365,Client Name 365,user365@midwest.org,user365@midwestfood.org,Team 365,,5,209,user365@midwist.org,,,7,15,510,,9,7,1129,1140,5,200,2,,,,2020-02-22T01:59:43.000Z,Sample Subject 365,,17,http://createsend.com/texturl/365,http://createsend.com/url/365,https://midwestfoodbank.org/email_tracking/365
44.91,CM100100,Campaign 0,Client_0,Client Name 0,user0@midwest.org,user0@midwestfood.org,Team 0,,3,63,user0@midwist.org,,,0,20,307,,18,5,1228,1439,2,994,2,,,,2020-01-08T22:37:16.000Z,Sample Subject 0,,38,http://createsend.com/texturl/0,http://createsend.com/url/0,https://midwestfoodbank.org/email_tracking/0
22.15,CM100132,Campaign 32,Client_32,Client Name 32,user32@midwest.org,user32@midwestfood.org,Team 32,,2,709,user32@midwist.org,,,1,20,474,,17,9,608,1179,3,570,4,,,,2020-04-08T17:56:52.000Z,Sample Subject 32,,41,http://createsend.com/texturl/32,http://createsend.com/url/32,https://midwestfoodbank.org/email_tracking/32
33.02,CM100164,Campaign 64,Client_64,Client Name 64,user64@midwest.org,user64@midwestfood.org,Team 64,,3,512,user64@midwist.org,,,10,15,200,,7,9,826,1394,2,510,0,,,,2020-03-28T00:35:59.000Z,Sample Subject 64,,67,http://createsend.com/texturl/64,http://createsend.com/url/64,https://midwestfoodbank.org/email_tracking/64
11.44,CM100111,Campaign 112,Client_112,Client Name 112,user112@midwest.org,user112@midwestfood.org,Team 112,,3,251,user112@midwist.org,,,5,19,408,,16,9,960,1496,5,271,7,,,,2020-04-18T21:40:00.000Z,Sample Subject 112,,61,http://createsend.com/texturl/112,http://createsend.com/url/112,https://midwestfoodbank.org/email_tracking/112
38.54,CM100114,Campaign 144,Client_144,Client Name 144,user144@midwest.org,user144@midwestfood.org,Team 144,,4,696,user144@midwist.org,,,6,8,421,,12,3,1044,1119,0,329,1,,,,2020-02-14T10:34:59.000Z,Sample Subject 144,,79,http://createsend.com/texturl/144,http://createsend.com/url/144,https://midwestfoodbank.org/email_tracking/144
18.27,CM100120,Campaign 208,Client_208,Client Name 208,user208@midwest.org,user208@midwestfood.org,Team 208,,5,469,user208@midwist.org,,,10,18,335,,3,5,1154,1135,4,392,5,,,,2020-02-25T04:15:24.000Z,Sample Subject 208,,92,http://createsend.com/texturl/208,http://createsend.com/url/208,https://midwestfoodbank.org/email_tracking/208
11.77,CM100122,Campaign 224,Client_224,Client Name 224,user224@midwest.org,user224@midwestfood.org,Team 224,,5,78,user224@midwist.org,,,6,4,247,,6,2,1016,1433,0,931,7,,,,2020-03-04T13:14:34.000Z,Sample Subject 224,,82,http://createsend.com/texturl/224,http://createsend.com/url/224,https://midwestfoodbank.org/email_tracking/224
22.34,CM100136,Campaign 368,Client_368,Client Name 368,user368@midwest.org,user368@midwestfood.org,Team 368,,2,156,user368@midwist.org,,,4,13,550,,3,5,818,1310,4,370,0,,,,2020-01-21T23:39:16.000Z,Sample Subject 368,,52,http://createsend.com/texturl/368,http://createsend.com/url/368,https://midwestfoodbank.org/email_tracking/368
22.9,CM100147,Campaign 477,Client_477,Client Name 477,user477@midwest.org,user477@midwestfood.org,Team 477,,4,465,user477@midwist.org,,,9,9,376,,20,1,836,1145,2,392,2,,,,2020-02-18T18:46:57.000Z,Sample Subject 477,,43,http://createsend.com/texturl/477,http://createsend.com/url/477,https://midwestfoodbank.org/email_tracking/477
43.71,CM100187,Campaign 877,Client_877,Client Name 877,user877@midwest.org,user877@midwestfood.org,Team 877,,5,626,user877@midwist.org,,,4,18,161,,12,10,960,1455,2,420,2,,,,2020-04-03T23:26:26.000Z,Sample Subject 877,,97,http://createsend.com/texturl/877,http://createsend.com/url/877,https://midwestfoodbank.org/email_tracking/877
28.82,CM100149,Campaign 496,Client_496,Client Name 496,user496@midwest.org,user496@midwestfood.org,Team 496,,4,408,user496@midwist.org,,,0,13,560,,16,7,1455,1083,0,653,2,,,,2020-02-22T10:55:34.000Z,Sample Subject 496,,61,http://createsend.com/texturl/496,http://createsend.com/url/496,https://midwestfoodbank.org/email_tracking/496
28.25,CM100156,Campaign 560,Client_560,Client Name 560,user560@midwest.org,user560@midwestfood.org,Team 560,,2,532,user560@midwist.org,,,6,1,538,,19,2,940,1263,2,778,1,,,,2020-03-08T21:37:44.000Z,Sample Subject 560,,34,http://createsend.com/texturl/560,http://createsend.com/url/560,https://midwestfoodbank.org/email_tracking/560
17.42,CM100127,Campaign 272,Client_272,Client Name 272,user272@midwest.org,user272@midwestfood.org,Team 272,,2,185,user272@midwist.org,,,7,5,578,,17,5,1333,1228,4,229,0,,,,2020-03-12T16:55:05.000Z,Sample Subject 272,,18,http://createsend.com/texturl/272,http://createsend.com/url/272,https://midwestfoodbank.org/email_tracking/272
21.48,CM100165,Campaign 656,Client_656,Client Name 656,user656@midwest.org,user656@midwestfood.org,Team 656,,3,293,user656@midwist.org,,,5,4,125,,8,5,917,1420,3,279,2,,,,2020-04-15T18:01:14.000Z,Sample Subject 656,,9,http://createsend.com/texturl/656,http://createsend.com/url/656,https://midwestfoodbank.org/email_tracking/656
25.97,CM100170,Campaign 704,Client_704,Client Name 704,user704@midwest.org,user704@midwestfood.org,Team 704,,3,426,user704@midwist.org,,,8,4,266,,15,10,840,1484,5,511,6,,,,2020-03-29T15:43:58.000Z,Sample Subject 704,,61,http://createsend.com/texturl/704,http://createsend.com/url/704,https://midwestfoodbank.org/email_tracking/704
11.85,CM100176,Campaign 768,Client_768,Client Name 768,user768@midwest.org,user768@midwestfood.org,Team 768,,3,147,user768@midwist.org,,,6,16,164,,1,2,634,1112,4,365,0,,,,2020-03-01T14:20:53.000Z,Sample Subject 768,,39,http://createsend.com/texturl/768,http://createsend.com/url/768,https://midwestfoodbank.org/email_tracking/768
47.39,CM100181,Campaign 816,Client_816,Client Name 816,user816@midwest.org,user816@midwestfood.org,Team 816,,2,170,user816@midwist.org,,,6,8,236,,3,1,1231,1207,4,351,6,,,,2020-01-29T22:43:03.000Z,Sample Subject 816,,24,http://createsend.com/texturl/816,http://createsend.com/url/816,https://midwestfoodbank.org/email_tracking/816
27.19,CM100183,Campaign 832,Client_832,Client Name 832,user832@midwest.org,user832@midwestfood.org,Team 832,,2,438,user832@midwist.org,,,9,12,537,,7,1,1094,1081,4,596,8,,,,2020-03-15T09:03:51.000Z,Sample Subject 832,,14,http://createsend.com/texturl/832,http://createsend.com/url/832,https://midwestfoodbank.org/email_tracking/832
18.71,CM100130,Campaign 30,Client_30,Client Name 30,user30@midwest.org,user30@midwestfood.org,Team 30,,1,256,user30@midwist.org,,,6,14,699,,13,10,1302,1490,2,952,0,,,,2020-01-30T19:13:07.000Z,Sample Subject 30,,86,http://createsend.com/texturl/30,http://createsend.com/url/30,https://midwestfoodbank.org/email_tracking/30
32.75,CM100162,Campaign 62,Client_62,Client Name 62,user62@midwest.org,user62@midwestfood.org,Team 62,,3,547,user62@midwist.org,,,2,19,550,,9,8,603,1253,3,702,5,,,,2020-02-15T11:07:36.000Z,Sample Subject 62,,32,http://createsend.com/texturl/62,http://createsend.com/url/62,https://midwestfoodbank.org/email_tracking/62
27.77,CM100178,Campaign 78,Client_78,Client Name 78,user78@midwest.org,user78@midwestfood.org,Team 78,,4,125,user78@midwist.org,,,2,20,502,,15,3,649,1227,1,483,0,,,,2020-01-03T22:25:50.000Z,Sample Subject 78,,26,http://createsend.com/texturl/78,http://createsend.com/url/78,https://midwestfoodbank.org/email_tracking/78
43.35,CM100117,Campaign 174,Client_174,Client Name 174,user174@midwest.org,user174@midwestfood.org,Team 174,,1,269,user174@midwist.org,,,3,9,380,,13,2,1051,1057,4,220,1,,,,2020-01-03T17:37:20.000Z,Sample Subject 174,,8,http://createsend.com/texturl/174,http://createsend.com/url/174,https://midwestfoodbank.org/email_tracking/174
32.86,CM100131,Campaign 318,Client_318,Client Name 318,user318@midwest.org,user318@midwestfood.org,Team 318,,5,566,user318@midwist.org,,,4,6,480,,20,1,1160,1284,4,537,6,,,,2020-02-14T01:28:37.000Z,Sample Subject 318,,10,http://createsend.com/texturl/318,http://createsend.com/url/318,https://midwestfoodbank.org/email_tracking/318
39.16,CM100126,Campaign 263,Client_263,Client Name 263,user263@midwest.org,user263@midwestfood.org,Team 263,,1,466,user263@midwist.org,,,5,8,344,,14,3,1498,1197,2,295,3,,,,2020-02-16T03:32:13.000Z,Sample Subject 263,,12,http://createsend.com/texturl/263,http://createsend.com/url/263,https://midwestfoodbank.org/email_tracking/263
18.88,CM100160,Campaign 606,Client_606,Client Name 606,user606@midwest.org,user606@midwestfood.org,Team 606,,4,681,user606@midwist.org,,,0,14,470,,3,5,1101,1209,4,456,8,,,,2020-02-13T14:03:52.000Z,Sample Subject 606,,39,http://createsend.com/texturl/606,http://createsend.com/url/606,https://midwestfoodbank.org/email_tracking/606
39.56,CM100163,Campaign 638,Client_638,Client Name 638,user638@midwest.org,user638@midwestfood.org,Team 638,,3,244,user638@midwist.org,,,6,16,251,,16,5,885,1364,3,428,7,,,,2020-03-11T03:11:32.000Z,Sample Subject 638,,66,http://createsend.com/texturl/638,http://createsend.com/url/638,https://midwestfoodbank.org/email_tracking/638
40.44,CM100147,Campaign 471,Client_471,Client Name 471,user471@midwest.org,user471@midwestfood.org,Team 471,,1,457,user471@midwist.org,,,9,1,127,,17,2,1466,1402,5,671,0,,,,2020-02-11T15:26:27.000Z,Sample Subject 471,,63,http://createsend.com/texturl/471,http://createsend.com/url/471,https://midwestfoodbank.org/email_tracking/471
47.73,CM100133,Campaign 333,Client_333,Client Name 333,user333@midwest.org,user333@midwestfood.org,Team 333,,3,389,user333@midwist.org,,,4,17,177,,7,9,654,1294,3,789,9,,,,2020-04-16T08:24:01.000Z,Sample Subject 333,,60,http://createsend.com/texturl/333,http://createsend.com/url/333,https://midwestfoodbank.org/email_tracking/333
44.6,CM100138,Campaign 381,Client_381,Client Name 381,user381@midwest.org,user381@midwestfood.org,Team 381,,1,60,user381@midwist.org,,,2,13,471,,11,7,1095,1262,5,971,0,,,,2020-03-16T15:04:32.000Z,Sample Subject 381,,47,http://createsend.com/texturl/381,http://createsend.com/url/381,https://midwestfoodbank.org/email_tracking/381
20.48,CM100142,Campaign 429,Client_429,Client Name 429,user429@midwest.org,user429@midwestfood.org,Team 429,,1,367,user429@midwist.org,,,5,4,267,,17,4,964,1468,3,422,5,,,,2020-02-14T18:07:21.000Z,Sample Subject 429,,26,http://createsend.com/texturl/429,http://createsend.com/url/429,https://midwestfoodbank.org/email_tracking/429
31.14,CM100116,Campaign 16,Client_16,Client Name 16,user16@midwest.org,user16@midwestfood.org,Team 16,,2,232,user16@midwist.org,,,8,14,254,,4,7,676,1059,1,959,3,,,,2020-01-01T10:00:51.000Z,Sample Subject 16,,15,http://createsend.com/texturl/16,http://createsend.com/url/16,https://midwestfoodbank.org/email_tracking/16
32.95,CM100148,Campaign 48,Client_48,Client Name 48,user48@midwest.org,user48@midwestfood.org,Team 48,,3,399,user48@midwist.org,,,1,20,627,,16,9,1346,1168,4,317,1,,,,2020-02-18T02:45:06.000Z,Sample Subject 48,,21,http://createsend.com/texturl/48,http://createsend.com/url/48,https://midwestfoodbank.org/email_tracking/48
11.13,CM100180,Campaign 80,Client_80,Client Name 80,user80@midwest.org,user80@midwestfood.org,Team 80,,3,82,user80@midwist.org,,,1,3,285,,16,9,1078,1051,5,912,2,,,,2020-02-21T03:43:00.000Z,Sample Subject 80,,36,http://createsend.com/texturl/80,http://createsend.com/url/80,https://midwestfoodbank.org/email_tracking/80
41.01,CM100119,Campaign 192,Client_192,Client Name 192,user192@midwest.org,user192@midwestfood.org,Team 192,,5,296,user192@midwist.org,,,10,9,580,,9,1,1313,1241,3,335,4,,,,2020-02-05T02:24:08.000Z,Sample Subject 192,,77,http://createsend.com/texturl/192,http://createsend.com/url/192,https://midwestfoodbank.org/email_tracking/192
26.2,CM100124,Campaign 240,Client_240,Client Name 240,user240@midwest.org,user240@midwestfood.org,Team 240,,2,782,user240@midwist.org,,,7,11,280,,17,10,972,1437,4,555,3,,,,2020-04-12T21:58:09.000Z,Sample Subject 240,,54,http://createsend.com/texturl/240,http://createsend.com/url/240,https://midwestfoodbank.org/email_tracking/240
36.66,CM100125,Campaign 256,Client_256,Client Name 256,user256@midwest.org,user256@midwestfood.org,Team 256,,3,752,user256@midwist.org,,,7,18,649,,15,8,876,1144,2,898,5,,,,2020-03-21T07:38:34.000Z,Sample Subject 256,,95,http://createsend.com/texturl/256,http://createsend.com/url/256,https://midwestfoodbank.org/email_tracking/256
24.28,CM100130,Campaign 304,Client_304,Client Name 304,user304@midwest.org,user304@midwestfood.org,Team 304,,1,777,user304@midwist.org,,,2,7,311,,14,5,1063,1383,4,554,2,,,,2020-02-13T06:12:16.000Z,Sample Subject 304,,45,http://createsend.com/texturl/304,http://createsend.com/url/304,https://midwestfoodbank.org/email_tracking/304
10.57,CM100132,Campaign 320,Client_320,Client Name 320,user320@midwest.org,user320@midwestfood.org,Team 320,,1,162,user320@midwist.org,,,4,15,596,,9,9,1259,1160,5,919,3,,,,2020-03-03T02:52:17.000Z,Sample Subject 320,,2,http://createsend.com/texturl/320,http://createsend.com/url/320,https://midwestfoodbank.org/email_tracking/320
16.31,CM100135,Campaign 352,Client_352,Client Name 352,user352@midwest.org,user352@midwestfood.org,Team 352,,5,681,user352@midwist.org,,,0,17,314,,16,1,1086,1070,2,861,5,,,,2020-03-30T12:14:40.000Z,Sample Subject 352,,2,http://createsend.com/texturl/352,http://createsend.com/url/352,https://midwestfoodbank.org/email_tracking/352
27.36,CM100138,Campaign 384,Client_384,Client Name 384,user384@midwest.org,user384@midwestfood.org,Team 384,,1,281,user384@midwist.org,,,9,11,391,,5,1,711,1369,1,752,2,,,,2020-02-01T07:51:18.000Z,Sample Subject 384,,89,http://createsend.com/texturl/384,http://createsend.com/url/384,https://midwestfoodbank.org/email_tracking/384
20.83,CM100146,Campaign 461,Client_461,Client Name 461,user461@midwest.org,user461@midwestfood.org,Team 461,,3,578,user461@midwist.org,,,9,13,161,,7,2,929,1014,3,775,0,,,,2020-02-27T14:30:14.000Z,Sample Subject 461,,45,http://createsend.com/texturl/461,http://createsend.com/url/461,https://midwestfoodbank.org/email_tracking/461
40.87,CM100149,Campaign 493,Client_493,Client Name 493,user493@midwest.org,user493@midwestfood.org,Team 493,,2,405,user493@midwist.org,,,5,2,563,,20,5,1445,1046,4,222,4,,,,2020-03-07T21:54:18.000Z,Sample Subject 493,,42,http://createsend.com/texturl/493,http://createsend.com/url/493,https://midwestfoodbank.org/email_tracking/493
