ID,ACCOUNT_NAME,ACTIVE_VOLUNTEER,ALTERNATE_EMAIL,BIRTHDATE,CONTACT_RECORD_TYPE,CORE_VOLUNTEER,CORE_VOLUNTEER_2,DATA_QUALITY_DESCRIPTION,DATA_QUALITY_SCORE,DECEASED,DIVISION,DO_NOT_CALL,DO_NOT_CONTACT,DO_NOT_SEND_MAIL,EMAIL,EMAIL_OPT_OUT,EXCL_HH_FORMAL_GREETING,EXCL_HH_INFORMAL_GREETING,EXCL_FROM_HH_NAME,FIRST_GIFT_DATE,FIRST_SOFT_CREDIT_AMOUNT,FIRST_SOFT_CREDIT_DATE,FIRST_VOLUNTEER_DATE,goldenapp__Gender__c,GOLDEN_VOLUNTEER_HOURS_YTD,GROUP_NAME,HOME_ADDRESS,HOME_PHONE,HOUSEHOLD_MAILING_ADDRESS,HOUSEHOLD_PHONE,INITIAL_DATE_WORKED,LARGEST_GIFT,LARGEST_SOFT_CREDIT_AMOUNT,LARGEST_SOFT_CREDIT_DATE,LAST_GIFT_AMOUNT,npo02__LastCloseDate__c,LAST_HOUSEHOLD_GIFT_DATE,LAST_SOFT_CREDIT_AMOUNT,LAST_SOFT_CREDIT_DATE,LAST_VOLUNTEER_DATE,MOBILE_PHONE_TEXT,NAME,SALUTATION,FIRST_NAME,LAST_NAME,MIDDLE_NAME,SUFFIX,NO_EMAIL_REASON,NO_MAIL_REASON,NUMBER_OF_GIFTS_LAST_N_DAYS,NUMBER_OF_GIFTS_LAST_YEAR,NUMBER_OF_GIFTS_THIS_YEAR,NUMBER_OF_GIFTS_TWO_YEARS_AGO,NUMBER_OF_SOFT_CREDITS,NUMBER_OF_SOFT_CREDITS_LAST_N_DAYS,NUMBER_OF_SOFT_CREDITS_LAST_YEAR,NUMBER_OF_SOFT_CREDITS_THIS_YEAR,NUMBER_OF_SOFT_CREDITS_TWO_YEARS_AGO,ORGANIZATION_TYPE,PERSONAL_EMAIL,PHONE,PREFERRED_EMAIL,PREFERRED_PHONE,PRIMARY_ADDRESS_TYPE,PRIMARY_CONTACT,PRIMARY_PHONE,SEND_ME_MORE_ABOUT_MIDWEST_FOOD_BANK,SMALLEST_GIFT,SOFT_CREDIT_LAST_N_DAYS,SOFT_CREDIT_LAST_YEAR,SOFT_CREDIT_THIS_YEAR,SOFT_CREDIT_TOTAL,SOFT_CREDIT_TWO_YEARS_AGO,SUBSCRIPTION_ARIZONA,SUBSCRIPTION_BLOOMINGTON,SUBSCRIPTION_CENTRAL,SUBSCRIPTION_EAST_AFRICA,SUBSCRIPTION_ENEWS,SUBSCRIPTION_FLORIDA,SUBSCRIPTION_GEORGIA,SUBSCRIPTION_HAITI,SUBSCRIPTION_INDIANA,SUBSCRIPTION_MORTON,SUBSCRIPTION_NEW_ENGLAND,SUBSCRIPTION_PENNSYLVANIA,SUBSCRIPTION_PEORIA,SUBSCRIPTION_PRINT_NEWSLETTER,SUBSCRIPTION_TEXAS,npo02__TotalOppAmount__c,TOTAL_GIFTS_LAST_N_DAYS,TOTAL_GIFTS_LAST_YEAR,TOTAL_GIFTS_THIS_YEAR,TOTAL_GIFTS_TWO_YEARS_AGO,TOTAL_HOUSEHOLD_GIFTS,TOTAL_HOUSEHOLD_GIFTS_LAST_YEAR,TOTAL_HOUSEHOLD_GIFTS_THIS_YEAR,TOTAL_NUMBER_OF_GIFTS,UNIQUE_PERSON_ID,VOLUNTEER_HOURS,VOLUNTEER_HOURS_2,VOLUNTEER_HOURS_COMBINED,VOLUNTEER_HOURS_VALUE,VOLUNTEER_HOURS_YTD,VOLUNTEER_HOURS_YTD_2,VOLUNTEER_HOURS_YTD_COMBINED,VOLUNTEERID,WORK_ADDRESS,WORK_EMAIL,WORK_PHONE,WORK_PHONE_TEXT,ZIP_CODE
A0176,Account176,True,alt_user176@example.com,6/11/2004,Golden,False,,,49.0,False,NFC,True,True,True,user176@example.com,True,True,True,True,11/1/2021,1800.19,1/6/2011,9/2/2021,Male,33.71,Group_176,"4065 Hill St, Orlando, AZ 55019, USA",583-872-2700,"4065 Hill St, Orlando, AZ 55019, USA",583-872-2700,10/13/2015,0.0,1860.16,11/1/2018,0.0,6/20/2021,3/30/2023,571.69,4/8/2024,10/3/2017,542-122-1319,Name_176,,FirstName_176,LastName_176,,,,,7,8,7,10,3,10,8,3,4,Household Account,Individual,547-561-4474,Personal,Work,Work,True,611-966-5224,False,51,,,,,,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,726.58,687.13,698.32,2032.6,667.52,3609.07,1247.06,10.57,90.51,user341760@yahoo.com%54109%9032%,30.83,1.69,65.44,303.62,132.58,9.89,32.93,NZA0NZAWMZ,"7165 Elm St, Seattle, WA 48084, USA",iy3lb0xj5q@example.com,762-959-2395,355-344-7150,47701
A0192,Account192,True,alt_user192@example.com,8/16/1959,Golden,True,,,35.0,False,FLF,True,False,True,user192@example.com,True,True,True,True,7/22/2012,525.55,6/4/2010,1/1/2021,Female,42.79,,"3104 Oak St, Austin, AZ 38686, USA",111-703-3748,"3104 Oak St, Austin, AZ 38686, USA",111-703-3748,10/18/2015,1411.78,449.15,4/5/2019,0.0,12/2/2021,11/17/2020,0.0,7/29/2018,3/10/2023,625-510-7559,Name_192,,FirstName_192,LastName_192,,,No Email Requested,,2,10,10,2,4,5,3,10,7,Household Account,Individual,494-700-1765,Personal,Personal,Work,True,320-264-8427,False,4,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4973.9,914.23,325.75,954.82,475.56,2036.06,1006.11,900.87,23.92,user320360@yahoo.com%70859%4197%,67.23,77.73,242.11,523.01,111.45,19.44,214.4,ODC3ODGZNZ,"2012 Main St, Denver, AZ 15473, USA",v1t2i6h5ea@example.com,497-300-8945,198-973-9261,30773
A0208,Account208,True,alt_user208@example.com,5/26/1988,Golden,True,ILM,"Missing: Phone, Job Title, Salutation",18.2,True,,False,True,True,user208@example.com,True,True,True,False,7/19/2022,184.1,5/10/2023,5/17/2020,Male,25.03,Group_208,"7183 Hill St, Seattle, MA 76310, USA",762-293-2806,"7183 Hill St, Seattle, MA 76310, USA",762-293-2806,6/3/2017,946.03,74.39,12/22/2019,759.01,11/8/2022,6/19/2019,592.98,,7/8/2022,863-556-1533,Name_208,,FirstName_208,LastName_208,,,No Email Requested,,1,0,5,2,2,7,3,2,7,Household Account,Individual,548-425-9384,Personal,Personal,,True,348-254-8568,False,3,,,,,,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,4576.05,384.85,267.07,2598.57,1532.07,3086.86,1181.5,1486.09,30.36,user783426@yahoo.com%16702%3177%,87.87,135.87,54.07,587.1,131.22,14.3,96.42,MZIWMDGXOD,"129 Hill St, Boston, IL 96568, USA",dok0f2wqrf@example.com,607-655-4888,775-423-2213,24818
A0224,Account224,True,alt_user224@example.com,5/28/2006,Golden,False,ILB,All Contact Details Captured,46.9,True,ILB,True,True,True,user224@example.com,True,False,True,True,5/20/2012,1986.87,11/13/2011,12/17/2022,Female,,,"7957 Cedar St, Phoenix, AZ 61381, USA",816-330-6283,"7957 Cedar St, Phoenix, AZ 61381, USA",816-330-6283,5/20/2021,288.86,38.97,9/26/2017,101.2,3/22/2020,8/14/2019,0.0,11/25/2021,4/20/2018,205-180-6310,Name_224,,FirstName_224,LastName_224,,,,Family Receives Mailing,1,1,3,5,7,7,4,8,5,Household Account,Individual,260-610-4695,Personal,Work,,True,261-513-4250,False,49,,,,,,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,3743.07,939.39,294.05,1886.48,1879.8,1351.15,261.28,413.89,77.4,user681602@yahoo.com%54436%5737%,23.81,4.34,304.2,642.55,99.82,124.09,188.62,MZEXMZAXMT,"2291 Maple St, Chicago, CO 38504, USA",a3it0on7y5@example.com,864-331-6538,621-218-6248,23278
A0256,Account256,True,alt_user256@example.com,1/3/1978,,False,FLF,"Missing: Job Title, Salutation",15.5,True,NFC,True,True,True,user256@example.com,True,True,True,False,12/10/2022,558.16,11/27/2014,10/14/2025,Female,16.79,Group_256,"5271 View St, , WA 27356, USA",657-792-2176,"5271 View St, , WA 27356, USA",657-792-2176,3/17/2015,0.0,0.0,2/1/2021,278.95,12/8/2021,3/25/2017,1440.63,9/21/2020,11/5/2020,954-595-1371,Name_256,,FirstName_256,LastName_256,,,,,7,8,3,0,0,6,6,4,4,Household Account,Individual,916-643-7614,Personal,Work,,True,259-214-8433,False,15,,,,,,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,3422.95,977.05,1992.22,2485.83,1899.8,1192.26,1460.36,1203.5,74.39,user177812@yahoo.com%10858%3810%,147.07,11.36,372.15,859.67,137.62,138.4,287.37,LTQXMZC2OD,"6757 Pine St, Denver, CO 28542, USA",pjdbhxm93o@example.com,881-684-1439,920-215-1940,85774
A0288,Account288,False,alt_user288@example.com,10/17/1959,,True,COR,"Missing: Phone, Job Title, Salutation",22.7,True,INI,True,False,False,user288@example.com,True,False,True,True,3/8/2021,1071.95,5/25/2022,5/2/2022,Female,9.41,Group_288,"6330 Elm St, Chicago, IL 95538, USA",324-621-9237,"6330 Elm St, Chicago, IL 95538, USA",324-621-9237,11/2/2018,1847.59,1450.49,5/4/2022,0.0,3/26/2023,9/28/2018,151.72,3/15/2023,7/25/2019,726-619-8525,Name_288,,FirstName_288,LastName_288,,,,Family Receives Mailing,3,5,5,0,2,0,8,8,8,Household Account,Individual,548-281-6834,Personal,Work,Home,True,963-833-2357,False,36,,,,,,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,4922.27,589.67,261.38,25.14,1576.65,2554.14,947.47,1941.82,86.7,user566765@yahoo.com%32056%9833%,72.09,153.13,91.59,952.81,14.18,37.36,215.93,LTC3NDA2MD,"3722 Oak St, Seattle, IL 12167, USA",zyczsn9hhd@example.com,492-850-3024,606-215-6887,64040
A0304,Account304,True,alt_user304@example.com,4/13/1999,Golden,False,COR,"Missing: Phone, Email, Job Title, Salutation",41.5,True,NFC,False,False,True,user304@example.com,True,False,True,True,12/16/2013,1017.67,2/25/2020,2/8/2024,Unspecified,37.11,Group_304,"9438 Pine St, Seattle, FL 65221, USA",322-635-7953,"9438 Pine St, Seattle, FL 65221, USA",322-635-7953,6/10/2015,998.06,0.0,8/30/2021,0.0,12/24/2022,4/7/2020,277.99,1/30/2019,4/4/2019,948-847-7887,Name_304,,FirstName_304,LastName_304,,,No Email Requested,Family Receives Mailing,10,8,7,4,10,8,10,5,3,Household Account,Individual,206-554-7720,Personal,Home,,True,343-602-6464,False,40,,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3214.14,996.13,1561.97,780.3,2969.27,3555.83,413.5,1223.26,12.78,user171841@yahoo.com%40666%9606%,60.92,192.51,203.3,94.49,36.32,128.15,170.63,NZY3OTUXND,"217 Cedar St, Seattle, IL 20103, USA",kfwr7ubzt1@example.com,244-614-5200,286-569-2570,91293
A0320,Account320,False,alt_user320@example.com,11/7/1985,Golden,False,COR,"Missing: Phone, Email, Job Title, Salutation",12.5,False,ILM,True,True,False,user320@example.com,True,True,True,True,11/2/2015,329.97,2/22/2020,7/27/2024,Unspecified,,Group_320,"1886 View St, Seattle, MA 31085, USA",945-998-3402,"1886 View St, Seattle, MA 31085, USA",945-998-3402,3/31/2014,83.22,1541.09,9/2/2017,0.0,11/10/2023,3/27/2022,1349.37,8/14/2022,10/2/2021,134-649-9987,Name_320,,FirstName_320,LastName_320,,,,,9,2,7,10,2,8,5,0,10,Household Account,Individual,964-328-7521,Personal,Personal,,True,191-728-2513,False,42,,,,,,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,1409.89,474.57,442.88,2235.37,1951.37,2270.02,441.25,942.78,46.25,user677688@yahoo.com%87707%4783%,148.35,79.57,50.48,301.24,46.66,90.23,149.91,MJK3MJMYMJ,"3283 Pine St, Phoenix, CO 21803, USA",fzdfp39ha7@example.com,135-630-1429,298-265-4430,54898
A0336,Account336,False,alt_user336@example.com,12/5/1961,,True,ILM,All Contact Details Captured,49.7,False,COR,True,True,True,user336@example.com,True,True,True,True,12/10/2013,1887.86,8/5/2019,12/20/2023,Unspecified,21.02,Group_336,"1652 Elm St, Denver, FL 23847, USA",898-638-6823,"1652 Elm St, Denver, FL 23847, USA",898-638-6823,8/30/2019,1310.91,0.0,9/1/2019,329.19,5/14/2024,8/1/2023,481.28,,11/19/2020,579-110-9327,Name_336,,FirstName_336,LastName_336,,,No Email Requested,,4,0,7,6,4,5,8,2,9,Household Account,Individual,293-658-1983,Personal,Personal,Home,False,329-896-9704,False,40,,,,,,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,4093.78,652.91,966.59,1027.29,2021.63,1734.47,1352.72,120.07,44.75,user470871@yahoo.com%11011%5049%,39.8,128.39,214.12,631.69,16.29,31.61,84.66,NJQ4OTU5MZ,"4072 Elm St, Austin, CO 23100, USA",0rntdwwpmz@example.com,611-268-4841,192-784-7465,16391
A0352,Account352,True,alt_user352@example.com,6/22/1993,Golden,True,COR,"Missing: Phone, Job Title, Salutation",23.0,True,COR,False,True,True,user352@example.com,True,False,True,False,5/14/2013,1261.38,4/7/2012,12/12/2022,Unspecified,44.14,Group_352,"7018 Pine St, , MA 69926, USA",512-983-1128,"7018 Pine St, , MA 69926, USA",512-983-1128,10/23/2016,708.41,0.0,12/4/2018,1239.0,9/9/2020,9/4/2021,1059.86,8/18/2022,5/1/2017,746-393-4991,Name_352,,FirstName_352,LastName_352,,,No Email Requested,,7,4,10,9,1,4,3,6,9,Household Account,Individual,457-651-6877,Personal,Home,Work,True,835-520-9530,False,13,,,,,,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,4206.08,120.87,1094.34,119.01,891.52,3330.3,571.89,395.14,64.19,user814700@yahoo.com%24834%7468%,8.77,99.94,203.06,528.38,24.9,53.28,291.6,LTGZNJG2MT,"6090 Main St, Austin, AZ 44139, USA",2ipqqqb8pi@example.com,263-566-7935,186-560-6897,38483
